元号(漢字),元号(ひらがな),開始日,終了日
寛保,かんぽう,グレゴリオ暦1741年4月12日,グレゴリオ暦1744年4月3日
延享,えんきょう,グレゴリオ暦1744年4月3日,グレゴリオ暦1748年8月5日
寛延,かんえん,グレゴリオ暦1748年8月5日,グレゴリオ暦1751年12月14日
宝暦,ほうれき,グレゴリオ暦1751年12月14日,グレゴリオ暦1764年6月30日
明和,めいわ,グレゴリオ暦1764年6月30日,グレゴリオ暦1772年12月10日
安永,あんえい,グレゴリオ暦1772年12月10日,グレゴリオ暦1781年4月25日
天明,てんめい,グレゴリオ暦1781年4月25日,グレゴリオ暦1789年2月19日
寛政,かんせい,グレゴリオ暦1789年2月19日,グレゴリオ暦1801年3月19日
享和,きょうわ,グレゴリオ暦1801年3月19日,グレゴリオ暦1804年3月22日
文化,ぶんか,グレゴリオ暦1804年3月22日,グレゴリオ暦1818年5月26日
文政,ぶんせい,グレゴリオ暦1818年5月26日,グレゴリオ暦1831年1月23日
天保,てんぽう,グレゴリオ暦1831年1月23日,グレゴリオ暦1845年1月9日
弘化,こうか,グレゴリオ暦1845年1月9日,グレゴリオ暦1848年4月1日
嘉永,かえい,グレゴリオ暦1848年4月1日,グレゴリオ暦1855年1月15日
安政,あんせい,グレゴリオ暦1855年1月15日,グレゴリオ暦1860年4月8日
万延,まんえん,グレゴリオ暦1860年4月8日,グレゴリオ暦1861年3月29日
文久,ぶんきゅう,グレゴリオ暦1861年3月29日,グレゴリオ暦1864年3月27日
元治,げんじ,グレゴリオ暦1864年3月27日,グレゴリオ暦1865年5月1日
慶応,けいおう,グレゴリオ暦1865年5月1日,グレゴリオ暦1868年10月23日
明治,めいじ,グレゴリオ暦1868年1月25日,グレゴリオ暦1912年7月29日
大正,たいしょう,グレゴリオ暦1912年7月30日,グレゴリオ暦1926年12月24日
昭和,しょうわ,グレゴリオ暦1926年12月25日,グレゴリオ暦1989年1月7日
平成,へいせい,グレゴリオ暦1989年1月8日,グレゴリオ暦2019年4月30日
令和,れいわ,グレゴリオ暦2019年5月1日,None
